Product URL,Product Name,Product Price,Rating,Number of Reviews
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),₹497,4.3,"12,760"
/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,Arctic Hunter Backpack Premium Business Backpack for Men Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Padded College Backpack for Men,"₹5,699",4.3,98
/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B09B7KC93T,HEROZ Hammer Unisex Nylon 35 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Black),"₹1,199",4.2,"1,129"
/Purple-Tree-Multifunction-Waterproof-Compartment/dp/B0BKSXQBXX,"The Purple Tree Multifunction Waterproof Laptop Travel Backpack with Shoe Compartment, Shoulder Bag, 35 L Laptop Backpack with USB Charging, Flight Cabin Backpack, Antitheft Zipper Bag","₹2,499",3.7,20
/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,₹799,4.0,"13,288"
/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,₹589,3.7,358
/Police-Polyester-Laptop-Spec-Backpack/dp/B07ZB8NWTZ,POLICE Polyester 35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy,"₹1,569",3.3,202
/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,₹499,4.0,"5,740"
/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,₹549,4.0,"2,560"
/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,₹369,4.2,"7,546"
/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C,American Tourister Casual Backpack,"₹1,249",4.1,"15,011"
/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",₹325,4.2,"1,024"
/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF,Kore Regular Gym Bag,₹59,2.6,"1,740"
/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","₹1,946",4.4,"3,364"
/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹225,3.7,"3,097"
/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,₹879,4.2,312
/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,797",4.3,"3,289"
/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8,811
/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),₹549,4.1,"1,733"
/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",₹437,4.4,"2,723"
/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,"₹2,332",4.4,"7,201"
/ADISA-Women-Girls-Floral-SL5072-CRE_Cream/dp/B09B56BCXR,ADISA Women Girls Floral Print Sling Bag,₹495,4.3,511
/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,"WILD MODA Women's Shoulder Bag, Set of 1",₹849,4.2,"3,805"
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹649,3.8,466
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹699,4.0,"4,022"
/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,F Gear String 11 Ltrs Nylon Black Gym Bag,₹189,4.0,505
/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,₹789,4.1,"4,250"
/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8,811
/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK,ASTRID Women's Round Sling Bag with Pompoms (Brown),₹499,4.4,429
/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),₹512,4.0,"5,740"
/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,"WILD MODA Women's Shoulder Bag, Set of 1",₹849,4.2,"3,805"
/Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",₹294,3.7,180
/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",₹512,3.9,573
/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S,Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,₹499,3.7,40
/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C,"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",₹999,4.3,"3,279"
/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹549,3.9,"7,494"
/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹369,4.1,"8,997"
/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹549,4.5,14
/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,797",4.3,"3,289"
/Amazon-Basics-Professional-Backpack-15-inch-Laptop/dp/B09W4WB3K5,"Amazon Basics - Laptop Backpack/College Bag/Travel Bag for 15.6-inch Laptop, Water-Resistant, Casual","₹1,669",3.7,18
/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey),"₹1,795",4.4,932
/Harissons-Office-Laptop-Backpacks-Women/dp/B09D3YYYNG,HARISSONS Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women,"₹1,504",4.1,245
/Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75,Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag,"₹1,319",4.1,"2,256"
/Lavie-Sport-Laptop-Backpack-BDEI323043M3/dp/B07VCKRMJ5,Lavie Sport Atlantis Backpack with Laptop Sleeve | Men | Women | 15 inch Laptop Compatible | 3 compartments | Office Business Casual Bagpack,₹969,4.4,330
/Verage-Tokyo-Trolley-Suitcase-Spinner/dp/B08HW6WRC9,Verage Tokyo 56 cms Grey Cabin/Carry-on Trolley 4 Wheels,"₹1,899",4.1,"2,546"
/Exotic-hand-bag-women-Black/dp/B092S8632R,EXOTIC hand bag for women,"₹1,333",4.1,"1,415"
/SKYBAGS-Campus-College-Laptop-Backpack/dp/B08425M424,SKYBAGS Campus Plus XL Grey College Laptop Backpack 33L,"₹2,695",4.1,92
/Semi-Hard-Anti-Theft-Backpack-Waterproof-Charging/dp/B07X399726,"Arctic Hunter Gaming Backpack Laptop Bag for 15.6 inch Laptop Biking Backpack for Men Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black","₹2,659",4.3,174
/Fast-Travel-partition-Collage-Backpack/dp/B09Q3LNSZK,Fast Travel School Bag Class 5-10 Large 4 Partition 45 L Laptop Collage Office Travel Backpack Unisex (Orange Blue),₹743,4.1,"1,064"
/Wearslim-Sports-Leather-Crossbody-Shoulder/dp/B096B9SZWN,"Wearslim Gym Bag, Sports Edition PU Leather Gym Duffel Bag, Crossbody Bag, Gym Yoga Bag, Travel Shoulder Bag for Men and Women - Black",₹299,5.0,1
/Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61,"Wooum Polyester 23 cms Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",₹397,4.2,497
/Tripole-Foldable-PAKEASY-Backpack-Hiking/dp/B0B24Q1XX3,TriPole Foldable PAKEASY Backpack and Day Bag for Hiking and Day Trips,₹599,4.1,65
/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹319,4.4,640
/Half-Moon-Waterproof-Backpack-Grey/dp/B09688CSCZ,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹599,3.9,"1,293"
/Wooum-Opening-Supplies-Stationary-Capacity/dp/B0BSFNVFL7,"Wooum Wide Opening Pencil Bag, Pen Pouch, Pen Bag, Pencil Holder, School Supplies Stationary Bag Big Capacity (Navy Blue)",₹298,4.2,55
/House-Quirk-Cosmetic-Toiletry-Reusable/dp/B095SBF21D,House of Quirk Solid 16 Cms Cosmetic Pouch (M_MAKEUP_BAG_L_PINK_Pink),₹399,4.0,57
/BEAUTY-GIRLS-1531-Pink-Waterproof-Backpack/dp/B08YR3JJ64,"BEAUTY GIRLS 1531 Polyester Waterproof 30 L Floral Printed School, College Tuition Laptop Backpack Bag for Girls & Women",₹849,4.2,"1,469"
